Item Number,Quantity,Value,Voltage,Tolerance,Description,Part Number,Part Reference
58,4,220 Ohm,,25 %,220 Ohms @ 100MHz 1  Ferrite Bead 0402 (1005 Metric) 450mA 290mOhm,BLM15AG221SN1D,LB5 LB6 LT2 LT3
59,2,600 Ohm@100MHz,,25 %,600 Ohms @ 100MHz 1 Signal Line Ferrite Bead 0805 (2012 Metric) 500mA 300mOhm,HZ0805E601R-10,LB7 LB8
60,2,30 Ohm@100MHz,,25 %,30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 4A 14mOhm,BLM21PG300SZ1D,LB9 LB10
61,19,Mt_Hole,,,PCB MOUNT-HOLE PAD200C_128 DRILL,Mt_Hole,MH1-MH19
62,9,DNP,,-,SHUNT 2.54MM PITCH,MSDA-G,MJB1-MJB9
63,1,120943-1,,,CONN RCPT BLADE PWR 3POS EDGE MT,TE-120943-1,P2
64,1,1766500-1,,,CONN PLUG ATCA 34POS PCB,1766500-1,P10
65,4,BSS138K,,,MOSFET N-CH 50V 220MA SOT-23-3,BSS138K,QB1-QB4
66,1,BSC016N03LS G,,,MOSFET N-Ch 30V 100A TDSON-8 OptiMOS 3,BSC016N03LS G,QT1
67,1,DNE,,,P-Channel 30V 4A (Ta) 1.4W (Ta) Surface Mount SOT-23-3L,AO3401A,QT2
68,3,499 Ohm,,1 %,RES SMD 499 OHM 1% 1/10W 0402,ERJ-2RKF4990X,R1 R2 RB138
69,35,49.9,,1%,RES SMD 49.9 OHM 1% 1/16W 0402,RC0402FR-0749R9L,R3 R4 RB38 RB39 RB41 RB43 RB46-RB48 RB50 RB52 RB54 RB56 RB57 RB163 RB164 RB167 RB169 RB173 RB176 RB182 RB184 RB188 RB189 RB191 RB192 RB198 RB199 RB201 RB202 RB240-RB244
70,24,24.9,,1%,RES SMD 24.9 OHM 1% 1/16W 0402,RC0402FR-0724R9L,RB1-RB4 RB7-RB10 RB13-RB16 RB23 RB24 RB27 RB29 RB31-RB33 RB35 RB219-RB222
71,39,10K,,1%,RES SMD 10K OHM 1% 1/20W 0402,M55342K11B10E0RS3,RB5 RB17 RB18 RB20-RB22 RB26 RB34 RB42 RB44 RB79 RB80 RB84 RB86 RB87 RB105 RB108 RB110 RB114 RB116-RB124 RB140 RB168 RB181 RB207 RB208 RB226 RB235 RB238 RB252 RT21 RT40
72,35,2.2k,,1%,RES SMD 2.2K OHM 1% 1/10W 0402,ERJ-2RKF2201X,RB6 RB51 RB55 RB58 RB60-RB62 RB64 RB68-RB72 RB74-RB77 RB195 RB197 RB203 RB223 RB224 RT9 RT11-RT13 RT17-RT20 RT24 RT25 RT35-RT37
73,2,499 Ohm,,1.0 %,"RES, Thick Film, 499 Ohm, 1.0 %, 1/16 W, SMD, 0402",CRCW0402499RFKEE,RB11 RB12
74,2,150,,1%,RES SMD 150 OHM 1% 1/20W 0201,ERJ-1GNF1500C,RB19 RB40
75,1,39k,,1%,RES SMD 39K OHM 0.1% 1/16W 0402,ERA-2AEB393X,RB25
76,7,100,,1%,RES SMD 100 OHM 1% 1/10W 0402,ERJ-2RKF1000X,RB28 RB133 RB134 RB136 RB137 RB142 RB143
77,1,422 Ohm,,1 %,RES SMD 422 OHM 1% 1/10W 0402,ERJ-2RKF4220X,RB30
78,1,6.81k,,1%,RES SMD 6.81K OHM 1% 1/10W 0402,ERJ-2RKF6811X,RB36
79,2,3.32k,,1%,RES SMD 3.32K OHM 1% 1/10W 0402,ERJ-2RKF3321X,RB37 RB109
80,28,DNP,,1%,RES NS 1/10W 0402,NO_STUFF,RB45 RB49 RB53 RB63 RB65 RB73 RB83 RB85 RB113 RB115 RB152-RB155 RB175 RB194 RB196 RB204 RB232 RB239 RB263 RB266 RT22 RT32 RT41 RT42 RT44 RT47
81,5,0.001,,1%,RES 0.001 OHM 1% 1W 1206,CSR1206-0R001F1,RB59 RB210 RB215 RB247 RT23
82,34,0,,Jumper,"RES, Thick Film, 0, Jumper, 1/10W, SMD, 0402",ERJ-2GE0R00X,RB66 RB67 RB78 RB81 RB82 RB106 RB107 RB111 RB112 RB156 RB170 RB177 RB183 RB185 RB211-RB213 RB217 RB225 RB229 RB233 RB236 RB249 RB251 RB264 RB265 RT6 RT14 RT15 RT26 RT33 RT38 RT45 RT46
83,7,249 Ohm,,1.0 %,"RES, Thick Film, 249 Ohm, 1.0 %, 1/10 W, SMD, 0603",MCR03EZPFX2490,RB88 RB96 RB102 RB160 RB161 RB166 RB172
84,21,4.99k,,1%,RES SMD 4.99K OHM 1% 1/10W 0402,ERJ-2RKF4991X,RB89-RB95 RB97-RB101 RB103 RB104 RB214 RB227 RB228 RB248 RB250 RB262 RT43
85,12,240,,1 %,RES SMD 240 OHM 1% 1/10W 0402,ERJ-2RKF2400X,RB125-RB130 RB148-RB150 RB157-RB159
86,4,1k,,1%,RES SMD 1K OHM 1% 1/10W 0402,ERJ-2RKF1001X,RB131 RB135 RB139 RB151
87,6,4.7k,,1%,RES SMD 4.7K OHM 1% 1/10W 0402,ERJ-2RKF4701X,RB132 RB145-RB147 RT2 RT29
88,2,10,,1%,RES SMD 10 OHM 1% 1/16W 0402,RC0402FR-0710RL,RB141 RB144
89,8,75 Ohm,,1 %,RES SMD 75 OHM 1% 1/10W 0402,ERJ-2RKF75R0X,RB162 RB165 RB171 RB180 RB187 RB190 RB193 RB200
90,2,60.4K,,1 %,RES SMD 60.4K OHM 1% 1/10W 0402,ERJ-2RKF6042X,RB174 RB186
91,2,100K,,1%,RES SMD 100K OHM 1% 1/16W 0402,RC0402FR-07100KL,RB178 RB245
